CUSID,DEPOSIT INCOME,LOAN INCOME,TOTAL_PRODUCT_COUNT,DEPOSIT_PRODUCT_COUNT,LOAN_PRODUCT_COUNT,DEPOSIT_BALANCE,COUNT_TRANSACTION_CURRENT,AMOUNT_TRANSACTION_CURRENT,MONTHS_REMAIN_MIN,MONTHS_REMAIN_MAX,COUNT_LOANTRANS_CURRENT,AMOUNT_LOANTRANS_CURRENT,AGE_MONTHS,TENURE_MONTHS,MONTHS_LAST_ACTIVE,CNT_LN_TOTFSI,LOAN_BALANCE,AGE_MONTHS,TENURE_MONTHS,LOAN_AMOUNT
917086,0,28.54,2,1,1,13.58,1,92,27,27,2,91.54,711,57,,,1677,711,57,3000
917087,0,0,1,1,0,0.4,,,,,,,804,97,8,,,804,97,
917088,0,0,1,0,1,,,,12,12,,,904,86,8,5,614.855,,86,614.8564064
917089,0,0,1,1,0,3,,,,,,,564,86,6,,,564,86,
917090,0,0,1,0,1,,,,12,12,,,806,35,2,3,614.855,,35,614.8564064
917091,0,343.925265,2,1,1,12.71,2,930.3082564,45,46,2,929.8382564,839,39,,,31113.37515,839,39,22675.40501
917092,0,0,1,1,0,0.42,,,,,,,766,86,8,,,766,86,
917093,0,30.3000544,3,2,1,0.8437826,1,132.80868,19,19,1,132.7840858,598,74,,2,1946.999843,598,74,2459.425626
917094,0,7.37826,1,0,1,,1,31.97246,9,9,1,7.37826,721,86,,3,467.2898,,86,491.8851251
917095,0,99.38,2,1,1,0.83,1,233.38,55,55,1,233.38,665,38,,5,7330,665,38,8000
917096,0.983768,90.7551828,4,2,2,3.5417025,3,325.4560136,18,35,2,326.7522456,636,99,,,5634.306937,636,99,10451.31075
917097,0,54.53,4,2,2,1.28,1,196.53,9,26,1,196.53,597,41,,2,4294.855,,41,5714.856406
917098,0,7.37826,1,0,1,,1,7.37826,9,9,1,7.37826,769,82,,2,491.884,,82,491.8851251
917099,0.983768,0,1,1,0,1.3280868,1,0.983768,,,,,818,99,,,,818,99,
917100,0,0,2,2,0,123.97,,,,,,,746,103,7,,,746,103,
917101,0,223.3552598,4,2,2,6.8,2,566.21594,9,50,5,557.3552598,567,99,,1,17256.26178,,99,20614.85641
917102,0,163.2744442,3,2,1,8.393768,2,1290.786124,5,12,2,1289.996124,616,87,,1,10008.6084,616,87,20017.22828
917103,0,0,1,0,1,,,,12,12,,,698,86,1,3,368.913,,86,368.9138439
917104,0,89.6856626,3,1,2,5.5183768,2,243.8283502,31,48,2,243.0083502,547,86,,4,6197.806562,547,86,4459.425626
917105,0,0,1,0,1,,,,12,12,,,746,86,1,1,614.855,,86,614.8564064
917106,0,0,2,1,1,0.33,,,,,,,863,86,3,,,863,86,
917107,0,0,2,2,0,2.874535542,,,,,,,712,74,3,,,712,74,
